state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,Day,Month,Year
Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate L3,Offer1,Agent,Two-Door Car,Medsize,24,2,2011
Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal L3,Offer3,Agent,Four-Door Car,Medsize,31,1,2011
Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal L3,Offer1,Agent,Two-Door Car,Medsize,19,2,2011
California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate L2,Offer1,Call Center,SUV,Medsize,20,1,2011
Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal L1,Offer1,Agent,Four-Door Car,Medsize,3,2,2011
Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal L3,Offer2,Web,Two-Door Car,Medsize,25,1,2011
Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,24,2,2011
Arizona,No,Premium,Master,Unemployed,M,Urban,Single,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,18,1,2011
Oregon,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,26,1,2011
Oregon,No,Extended,College,Employed,F,Urban,Married,Special L2,Offer2,Branch,Four-Door Car,Medsize,17,2,2011
California,No,Basic,College,Unemployed,M,Suburban,Single,Personal L3,Offer1,Agent,Four-Door Car,Small,21,2,2011
California,No,Basic,College,Unemployed,F,Suburban,Married,Personal L3,Offer2,Agent,SUV,Medsize,6,1,2011
California,No,Premium,Master,Employed,M,Urban,Married,Corporate L1,Offer2,Agent,Four-Door Car,Medsize,6,2,2011
Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate L3,Offer2,Branch,SUV,Medsize,10,1,2011
California,No,Basic,College,Employed,M,Urban,Single,Corporate L3,Offer4,Call Center,Four-Door Car,Medsize,18,1,2011
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate L2,Offer2,Branch,Four-Door Car,Medsize,17,1,2011
Nevada,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Personal L3,Offer2,Call Center,Two-Door Car,Medsize,6,2,2011
