months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,customer_lifetime_value,income,monthly_premium_auto,total_claim_amount
32,5,0,1,2763.519279,56274,69.0,384.811147
13,42,0,8,6979.535903,0,94.0,390.03496301912224
18,38,0,2,12887.43165,48767,108.0,566.472247
18,65,0,7,7645.861827,0,106.0,529.881344
12,44,0,1,2813.692575,43836,73.0,138.130879
14,94,0,2,8256.2978,62902,69.0,159.383042
0,13,0,9,5380.898636,55350,67.0,321.6
0,68,0,4,7216.100311,0,101.0,363.02968
13,3,0,2,6279.177891973308,14072,71.0,511.2
17,7,0,8,7388.178085,28812,93.0,425.527834
23,5,0,3,4738.992022,0,67.0,482.4
27,87,0,3,8197.197078,0,110.0,528.0
9,82,2,3,8798.797003,77026,110.0,472.029737
23,25,1,8,8819.018934,99845,110.0,528.0
21,10,2,8,5384.431665,83689,70.0,307.139132
12,50,1,2,7463.139377,24599,64.0,42.920271
14,7,0,1,2566.867823,25049,67.0,454.245098
12,59,0,1,3945.241604,28855,101.0,647.442031
9,1,0,7,5710.333115,51148,72.0,308.981664
11,21,0,3,8162.617053,66140,101.0,484.8
31,21,0,1,2872.051273,57749,74.0,355.2
8,49,0,1,3041.791561,13789,79.0,379.2
13,3,0,2,6279.177891973308,14072,71.0,511.2
4,44,3,1,2450.190996,0,73.0,554.376763
30,91,0,1,2392.10789,17870,61.0,439.2
22,1,0,3,5802.065978,97541,72.0,389.185006
15,47,0,1,3946.372085,0,111.0,799.2
33,64,0,1,5346.916576,10511,139.0,516.237951
33,54,2,2,12902.56014,86584,111.0,532.8
17,44,1,1,3235.360468,75690,80.0,384.0
4,6,1,1,2454.58354,23158,63.0,322.294043
1,14,0,6,6279.177891973308,65999,87.59156709558825,615.927769
19,56,0,3,4715.321344,0,65.0,308.15089
28,17,0,6,5018.885233,54500,63.0,302.4
19,42,0,8,4932.916345,37260,62.0,15.437681
11,40,0,6,5744.229745,68987,71.0,204.475147
10,62,0,2,13891.73567,42305,117.0,561.6
19,86,0,8,7380.976717,65706,91.0,436.8
7,79,0,1,3090.034104,0,90.0,648.0
4,15,2,1,2521.633095,53243,66.0,157.397849
7,1,1,1,2652.061785,0,70.0,484.318536
3,32,0,1,2771.045031,50071,71.0,18.918935
12,28,0,1,3939.00637,60021,99.0,882.871945
15,16,0,2,12231.87968,43244,103.0,494.4
15,56,0,1,2443.665166,92834,61.0,292.8
5,4,3,3,12819.10289,10105,87.59156709558825,0.517753
7,57,3,5,4468.510542,0,73.0,579.165954
7,10,0,4,5514.344018,23218,71.0,447.79344
11,77,0,1,3343.875326,0,92.0,529.624084
11,56,0,1,2294.478927,0,62.0,313.023175
1,28,0,2,6279.177891973308,24804,104.0,593.830288
18,95,0,2,6279.177891973308,33190,106.0,508.8
4,40,3,2,7983.431709,36014,69.0,173.956072
19,44,0,3,4854.745666,29834,64.0,307.2
20,26,0,1,4293.997319,16701,113.0,831.625979
1,53,0,3,7164.395543,46623,91.0,436.8
24,59,0,2,7619.5158,64749,64.0,302.56519
29,12,0,1,3958.002823,0,101.0,484.8
34,47,2,1,4499.493252,16969,124.0,704.768111
4,98,0,1,4059.567414,11621,108.0,518.4
1,36,1,3,4458.113369,17622,65.0,312.0
4,50,0,6,8110.333139,11489,105.0,504.0
20,53,0,1,3339.764873,0,94.0,863.327324
0,86,0,2,6279.177891973308,66525,100.0,104.331355
21,28,0,2,6613.973653,0,63.0,676.391482
29,71,0,1,2930.693543,33663,73.0,350.4
7,60,0,3,8672.194272,22547,112.0,537.6
5,65,0,2,11638.66926,61486,97.0,465.258644
13,20,0,5,6846.150323,0,95.0,456.0
17,0,0,2,11727.77648,29879,102.0,500.254235
17,12,0,2,6279.177891973308,93011,113.0,281.451042
29,27,0,1,2614.474305,65186,65.0,5.434505
1,47,2,1,2451.752695,26840,64.0,307.2
30,3,1,5,6781.270203,0,104.0,390.03496301912224
5,68,3,9,4974.801539,75644,65.0,467.803638
27,38,0,2,8591.604933,38984,73.0,350.4
17,48,0,6,5592.161392,71811,71.0,29.03416
20,33,0,2,8009.472833,20961,67.0,321.6
6,83,2,2,11318.08982,38923,99.0,115.728852
0,30,1,2,6279.177891973308,61321,87.59156709558825,427.63121
20,26,0,2,8025.229358,0,77.0,25.807685
23,0,0,8,5780.182197,51066,74.0,787.993313
12,54,0,1,4118.539113,34378,102.0,489.6
35,15,0,1,2523.07015,43072,63.0,302.4
28,69,0,3,6554.216396,25222,90.0,475.623251
15,32,1,2,7703.397294,36765,66.0,320.849072
28,90,5,5,5926.729379,23091,96.0,460.8
3,79,3,1,2683.470677,48269,69.0,282.151207
13,12,0,1,2695.182419,32720,67.0,321.6
15,60,1,4,6047.02516,20396,76.0,364.8
21,81,1,2,13171.01282,21513,119.0,679.827592
7,3,0,2,10656.88195,72540,88.0,631.743039
24,84,0,1,2527.653796,80744,63.0,11.879037
23,88,0,1,2672.095756,52822,67.0,350.529033
8,10,1,9,5313.294035,0,77.0,863.3947
2,26,1,2,6279.177891973308,69738,74.0,492.127532
12,18,0,9,8375.353929,17780,109.0,132.588288
29,11,0,8,4801.661503,18107,62.0,297.6
30,87,3,9,5745.94334,57740,74.0,269.905129
11,60,0,7,6066.115969,32627,76.0,380.036697
3,65,0,3,8002.308333,0,107.0,513.6
24,10,0,1,2393.915369,0,70.0,425.266308
2,85,1,3,4762.8179,65795,62.0,49.011099
9,18,0,1,4330.38602,60475,107.0,513.6
28,88,0,4,9402.729769,0,130.0,936.0
29,93,0,9,6966.694527,41837,88.0,142.062768
13,34,0,2,7694.064293,32303,65.0,45.152521
5,89,1,3,8717.561149,0,117.0,561.6
17,32,0,9,5928.748528,40531,74.0,30.567357
5,86,1,1,2452.977288,79898,62.0,271.606799
4,18,0,7,6701.571657,56398,85.0,408.0
16,2,1,8,7556.24034,35257,98.0,470.4
19,54,0,7,8492.6988,27804,109.0,784.8
16,32,2,2,7713.494046,45506,66.0,316.8
0,54,0,2,6279.177891973308,65196,67.0,396.082036
11,70,1,3,7290.069769,0,102.0,489.6
35,90,0,1,4772.943848,20993,133.0,638.4
35,77,0,9,6806.491395,37839,86.0,465.633954
24,10,0,1,2469.781334,92711,62.0,368.400146
10,90,2,1,3103.923041,74665,78.0,236.902001
26,89,0,1,2981.875575,0,83.0,582.679087
6,3,0,9,8902.737595,46833,112.0,64.109663
17,77,0,7,5499.447223,88768,68.0,326.4
9,77,0,3,15023.59858,28262,87.59156709558825,921.6
17,11,0,1,2509.107875,33555,63.0,101.89645
10,27,1,2,6279.177891973308,42780,113.0,542.4
